grow_type,geography,level,HHI_Canopy,HHI_MaxSqFt
Outdoor,,Parent Company,2000.0,2000.0
Outdoor,,Parent Company,314.0539159021496,280.82456920012106
Outdoor,,Parent Company,10000.0,10000.0
Outdoor,,Parent Company,10000.0,10000.0
Outdoor,,Parent Company,4037.492192294404,5191.928777177583
Outdoor,,Parent Company,5670.4515128940375,4634.75516080054
Outdoor,,Parent Company,72.09986174326339,79.03982878256608
Outdoor,,Parent Company,8161.836327051823,9002.770083102492
Outdoor,,Parent Company,10000.0,10000.0
Outdoor,,Parent Company,9901.346999155598,9906.105375578496
Outdoor,,Parent Company,525.4872805767268,259.739492886065
Outdoor,,Parent Company,417.88661165823794,517.4745402479095
Outdoor,,Parent Company,221.40489818691916,196.12476370510396
Outdoor,,Parent Company,3803.0114888026756,4235.6957977270795
Outdoor,,Parent Company,163.9317473234556,186.04554924514835
Outdoor,,Parent Company,10000.0,10000.0
Outdoor,,Parent Company,1165.5270976972488,1920.2562180317989
Outdoor,,Parent Company,10000.0,10000.0
Outdoor,,Parent Company,10000.0,10000.0
Outdoor,,Parent Company,10000.0,10000.0
Outdoor,,Parent Company,1404.9254262935156,1210.3312594338902
Outdoor,,Parent Company,1335.645359434271,896.3973264039812
Outdoor,,Parent Company,10000.0,10000.0
Outdoor,,Parent Company,836.9149614333103,854.5579522309525
Outdoor,,Parent Company,10000.0,10000.0
Outdoor,,Parent Company,10000.0,10000.0
Outdoor,,Parent Company,492.93813410551155,478.2167360123721
Outdoor,,Parent Company,553.7997195031977,576.7067725143962
Outdoor,,Parent Company,10000.0,10000.0
Outdoor,,Parent Company,640.5427433890208,631.6464635290417
Outdoor,,Parent Company,10000.0,10000.0
